**Domination** has quite a lot of params a logged in admin can change. If a database is used those params can also be changed in the dom_params2 database table (_using a database always overrides changes an admin may have made_). Or if someone wants to modify the mission they can also be changed in description.ext inside the mission root folder (again, if a database is used the database params values will override description.ext values).

***

Param                           | Title                                                                                       | Default | Value: Description
d_bonus_vec_type                | Bonus vehicles:                                                                             | `0`     | `0`: Normal <br /> `1`: No sidemission bonus vehicles <br /> `2`: No main target bonus vehicles <br /> `3`: No bonus vehicles at all
d_ao_check_for_ai               | Seize condition for main target:                                                            | `1`     | `0`: All camps captured and radio tower destroyed <br /> `1`: Low number of AI units, all camps captured and radio tower destroyed <br /> `2`: Low number of AI units and radio tower destroyed
d_mt_respawngroups              | Respawn main target enemy AI groups as reinforcements:                                      | `0`     | `0`: Yes <br /> `1`: No
d_bar_mhq_destroy               | AO enemy barracks and vehicle MHQ has to be destroyed by explosives                         | `1`     | `0`: No <br /> `1`: Yes
d_allow_observers               | Enemy AI observers for artillery and CAS at AO                                              | `1`     | `0`: No <br /> `1`: Yes
d_ai_persistent_corpses         | Persistent AI corpses                                                                       | `1`     | `0`: Yes <br /> `1`: No
d_del_crew_always               | Kill ALL vehicle crew (even outside) when a vehicle gets destroyed:                         | `1`     | `0`: Yes <br /> `1`: No
d_ao_radius_override            | Target radius:                                                                              | `0`     | `0`: Normal <br /> `350`: 350 <br /> `450`: 450 <br /> `550`: 550 <br /> `650`: 650 <br /> `750`: 750 <br /> `850`: 850 <br /> `1000`: 1000
d_save_to_mpns                  | Save player and mission progress to missionProfileNamespace if no SQL database is available | `1`     | `0`: No <br /> `1`: Yes <br /> `2`: Yes (missionprogress autosave disabled)
d_use_systemtime                | Use server system time as game time                                                         | `0`     | `0`: No <br /> `1`: Yes
d_weather                       | Internal weather system:                                                                    | `0`     | `0`: Yes <br /> `1`: No
d_enable_fog                    | Enable fog (internal weather system):                                                       | `1`     | `0`: Yes <br /> `1`: No
d_WithWinterWeather             | With winter weather:                                                                        | `1`     | `0`: Yes <br /> `1`: No
d_withsandstorm                 | With sandstorm:                                                                             | `0`     | `0`: Yes <br /> `1`: No
d_MaxNumAmmoboxes               | Max. number ammo boxes:                                                                     | `10`    | `10`: 10 <br /> `20`: 20 <br /> `30`: 30
d_max_truck_cargo               | Engineer truck cargo capacity:                                                              | `6`     | `1`: 1 <br /> `3`: 3 <br /> `6`: 6 <br /> `9`: 9 <br /> `12`: 12 <br /> `16`: 16
d_no_faks                       | Remove Fist Aid Kits:                                                                       | `1`     | `0`: Yes <br /> `1`: No
d_no_ai_silencer                | Remove silencer from spawned enemy AI units:                                                | `0`     | `0`: No <br /> `1`: Yes
d_timemultiplier                | Time Multiplier (1 real second = x ingame seconds):                                         | `1`     | `1`: Off <br /> `6`: 6 <br /> `12`: 12 <br /> `30`: 30 <br /> `45`: 45 <br /> `60`: 60 <br /> `90`: 90 <br /> `120`: 120
d_with_dynsim                   | Dynamic Simulation:                                                                         | `0`     | `0`: Yes <br /> `1`: No
d_with_bis_dynamicgroups        | With BIS Dynamic Groups (Squad Mgmt):                                                       | `0`     | `0`: Yes <br /> `1`: No
d_arsenal_mod                   | Use only mod weapons in Virtual Arsenal:                                                    | `0`     | `0`: Yes <br /> `1`: No
d_no_mortar_ar                  | Mortar bag packs in Virtual Arsenal:                                                        | `1`     | `0`: Yes <br /> `1`: No
d_ao_markers                    | Turn off markers at AO for tower and camps:                                                 | `1`     | `0`: Yes <br /> `1`: No
d_with_base_sabotage            | With base sabotage:                                                                         | `1`     | `0`: Yes <br /> `1`: No
d_pylon_lodout                  | Pylon loadout enabled:                                                                      | `0`     | `0`: Yes <br /> `1`: No
d_pylon_noclust                 | Remove cluster ammo from pylon loadout                                                      | `0`     | `0`: Yes <br /> `1`: No
d_with_minefield                | With minefield at main targets:                                                             | `0`     | `0`: Yes <br /> `1`: No
d_va_percentage                 | Limit Virtual Arsenal ammo box access to 1000                                               | `0`     | `0`: Yes <br /> `1`: No
d_dis_servicep                  | Disable all service points, including FARPs (no refuel, no repair, no rearm)                | `1`     | `0`: Yes <br /> `1`: No
d_InitialViewDistance           | Initial Viewdistance:                                                                       | `1600`  | `1000`: 1000m <br /> `1600`: 1600m <br /> `2000`: 2000m <br /> `2500`: 2500m <br /> `3000`: 3000m <br /> `3500`: 3500m <br /> `4000`: 4000m <br /> `4500`: 4500m <br /> `5000`: 5000m
d_MaxViewDistance               | Maximum Viewdistance:                                                                       | `5000`  | `2000`: 2000m <br /> `3000`: 3000m <br /> `4000`: 4000m <br /> `5000`: 5000m <br /> `6000`: 6000m <br /> `7000`: 7000m <br /> `8000`: 8000m <br /> `9000`: 9000m <br /> `10000`: 10000m
d_ViewdistanceChange            | Viewdistance changeable:                                                                    | `0`     | `0`: Yes <br /> `1`: No <br /> `2`: Yes (after server initializes client)
d_AutoViewdistanceChangeDefault | Auto viewdistance change at main target and base:                                           | `1`     | `0`: No <br /> `1`: Yes
d_playerspectateatbase          | Player can spectate other players at base flag                                              | `0`     | `0`: Yes <br /> `1`: No
d_with_airtaxi                  | With AI air taxi (coop version only):                                                       | `0`     | `0`: Yes <br /> `1`: No
d_with_airdrop                  | With air drop:                                                                              | `0`     | `0`: Yes <br /> `1`: No
d_GrasAtStart                   | Grass:                                                                                      | `0`     | `0`: Yes <br /> `1`: No
d_Terraindetail                 | Player can disable grass:                                                                   | `0`     | `0`: Yes <br /> `1`: No
d_EnableSimulationCamps         | Enable simulation for enemy camps:                                                          | `0`     | `1`: Yes <br /> `0`: No
d_WithRevive                    | With revive:                                                                                | `0`     | `0`: Yes <br /> `1`: No
d_WithReviveSpectating          | With revive spectating:                                                                     | `0`     | `0`: Yes <br /> `1`: No
d_only_medics_canrevive         | Only medics can revive:                                                                     | `1`     | `0`: Yes <br /> `1`: No
d_ACEMedicalR                   | Disable ACE medical revive (if ACE is used) and use mission revive                          | `1`     | `0`: Yes <br /> `1`: No
xr_max_lives                    | Max lives (revive):                                                                         | `-1`    | `1`: 1 <br /> `5`: 5 <br /> `10`: 10 <br /> `20`: 20 <br /> `30`: 30 <br /> `40`: 40 <br /> `50`: 50 <br /> `-1`: Unlimited
xr_lifetime                     | Life time:                                                                                  | `300`   | `60`: 60 secs <br /> `120`: 120 secs <br /> `180`: 180 secs <br /> `240`: 240 secs <br /> `300`: 300 secs <br /> `600`: 600 secs <br /> `1200`: 1200 secs
xr_respawn_available_after      | Respawn possible after:                                                                     | `5`     | `5`: 5 secs <br /> `30`: 30 secs <br /> `60`: 60 secs <br /> `90`: 90 secs <br /> `120`: 120 secs <br /> `180`: 180 secs <br /> `240`: 240 secs <br /> `300`: 300 secs <br /> `600`: 600 secs
d_with_autorevive               | With auto revive if no player is nearby (less than 215m):                                   | `1`     | `0`: Yes <br /> `1`: No
d_force_fast_intro              | Force fast intro:                                                                           | `0`     | `0`: Default <br /> `1`: Yes
d_show_playernames              | Show player names:                                                                          | `0`     | `0`: Over head <br /> `1`: Cursor target
d_playernames_state             | Default player name state:                                                                  | `1`     | `0`: Off <br /> `1`: Names <br /> `2`: Health
d_show_player_marker            | Player marker:                                                                              | `1`     | `0`: Off <br /> `1`: Name only <br /> `2`: Marker only <br /> `3`: Health
d_force_isstreamfriendlyui      | Force no HUD                                                                                | `0`     | `0`: No <br /> `1`: Yes
d_show_headshots                | Show headshots                                                                              | `0`     | `0`: No <br /> `1`: Client only <br /> `3`: Client and allies
d_WithAmbientRadio              | With ambient radio:                                                                         | `1`     | `0`: No <br /> `1`: Yes
d_WithVoicesDisabled            | Disable voices:                                                                             | `0`     | `0`: No <br /> `1`: Yes
d_with_3Dicon                   | With 3D draw icon above wreck repair/ammo point:                                            | `1`     | `0`: No <br /> `1`: Yes
d_AutoKickTime                  | Air vecs autokick time:                                                                     | `1800`  | `0`: 0 Minutes <br /> `60`: 1 Minute <br /> `300`: 5 Minutes <br /> `600`: 10 Minutes <br /> `1800`: 30 Minutes <br /> `3600`: 60 Minutes
d_score_needed_to_fly           | Flying choppers and planes only allowed when a player has a score higher than:              | `10`    | `-1`: Disabled <br /> `10`: 10 <br /> `50`: 50 <br /> `100`: 100 <br /> `500`: 500 <br /> `1000`: 1000 <br /> `2000`: 2000 <br /> `5000`: 5000
d_without_nvg                   | Without NVgoggles:                                                                          | `1`     | `0`: Yes <br /> `1`: No <br /> `2`: Block but not for missile launchers
d_without_ti                    | Disable Thermal Imaging (TI) for inf weapons/optics:                                        | `1`     | `0`: Yes <br /> `1`: No <br /> `2`: Block but not for missile launchers
d_without_vec_ti                | Disable vehicle TI:                                                                         | `1`     | `0`: Yes <br /> `1`: No
d_without_vec_nvg               | Disable vehicle NVG:                                                                        | `1`     | `0`: Yes <br /> `1`: No
d_vec_at_farp                   | Add action menu "Spawn vehicle" to FARPs:                                                   | `0`     | `0`: Yes <br /> `1`: No
d_engineerfull                  | Engineer full repair (old versions):                                                        | `1`     | `0`: Yes <br /> `1`: No
d_mhqvec_create_cooldown        | Seconds till a player can create a new vec at MHQ:                                          | `120`   | `0`: Off <br /> `60`: 60 <br /> `120`: 120 <br /> `300`: 300 <br /> `600`: 600 <br /> `1200`: 1200 <br /> `1800`: 1800
d_launcher_cooldown             | Launcher Cooldown Time in seconds:                                                          | `120`   | `0`: Off <br /> `60`: 60 <br /> `120`: 120 <br /> `180`: 180 <br /> `240`: 240 <br /> `300`: 300
d_enable_extra_cas              | Enable extra CAS ordnance                                                                   | `0`     | `0`: No <br /> `1`: Yes
d_tell_arty_cas                 | Always announce enemy artillery / CAS                                                       | `0`     | `0`: No <br /> `1`: Yes
d_disable_player_arty           | Disable player artillery                                                                    | `0`     | `0`: No <br /> `1`: Yes
d_arty_unlimited                | Disable artillery and CAS cooldown                                                          | `0`     | `0`: Default <br /> `1`: Disabled <br /> `2`: Low
d_artycheckfriendlies           | Check for friendly units near artillery targets when firing artillery                       | `1`     | `0`: No <br /> `1`: Yes
d_disable_player_cas            | Disable player CAS                                                                          | `0`     | `0`: No <br /> `1`: Yes
d_enable_civs                   | Civilians - enable civilians                                                                | `0`     | `0`: Off <br /> `1`: On
d_civ_unitcount                 | Civilians - civilian unit count (walking)                                                   | `10`    | `10`: 10 <br /> `15`: 15 <br /> `20`: 20 <br /> `25`: 25 <br /> `30`: 30 <br /> `40`: 40 <br /> `50`: 50 <br /> `75`: 75 <br /> `100`: 100
d_civ_groupcount                | Civilians - civilian group count per target                                                 | `10`    | `-1`: Low <br /> `-2`: Normal <br /> `-3`: High <br /> `-4`: Very High <br /> `-5`: Extreme <br /> `0`: 0 <br /> `1`: 1 <br /> `2`: 2 <br /> `3`: 3 <br /> `4`: 4 <br /> `5`: 5 <br /> `6`: 6 <br /> `7`: 7 <br /> `8`: 8 <br /> `9`: 9 <br /> `10`: 10 <br /> `15`: 15 <br /> `20`: 20 <br /> `25`: 25 <br /> `30`: 30 <br /> `35`: 35 <br /> `40`: 40 <br /> `45`: 45 <br /> `50`: 50 <br /> `75`: 75 <br /> `100`: 100 <br /> `150`: 150 <br /> `200`: 200 <br /> `250`: 250 <br /> `300`: 300
d_civ_pnts                      | Civilians - subtract score when a player kills a civilian:                                  | `3`     | `0`: 0 <br /> `1`: 1 <br /> `2`: 2 <br /> `3`: 3 <br /> `4`: 4 <br /> `5`: 5 <br /> `10`: 10 <br /> `25`: 25 <br /> `50`: 50 <br /> `75`: 75 <br /> `100`: 100
d_enable_civ_vehs               | Civilian vehicles - enabled                                                                 | `0`     | `0`: Off <br /> `10`: VeryLow <br /> `25`: Low <br /> `50`: Medium <br /> `75`: High <br /> `100`: Maximum
d_enable_civ_vehs_rad           | Civilian vehicles - spawn radius                                                            | `250`   | `150`: 150m <br /> `250`: 250m <br /> `350`: 350m <br /> `450`: 450m
d_enable_civ_vehs_locked        | Civilian vehicles - lock vehicles                                                           | `1`     | `0`: No <br /> `1`: Yes
d_disable_airai                 | Disable enemy air                                                                           | `0`     | `0`: No <br /> `1`: Yes
d_occ_bldgs                     | Enemy AI will occupy buildings                                                              | `1`     | `0`: No <br /> `1`: Yes
d_ai_awareness_rad              | AI Advanced - enhanced awareness (common units)                                             | `-1`    | `-1`: No <br /> `10`: 10m <br /> `25`: 25m <br /> `50`: 50m <br /> `75`: 75m <br /> `100`: 100m <br /> `150`: 150m <br /> `200`: 200m <br /> `250`: 250m <br /> `300`: 300m <br /> `400`: 400m <br /> `450`: 450m <br /> `500`: 500m <br /> `550`: 550m <br /> `600`: 600m <br /> `650`: 650m(recommended) <br /> `700`: 700m <br /> `800`: 800m <br /> `900`: 900m <br /> `1000`: 1000m
d_snp_aware                     | AI Advanced - enhanced awareness (sniper units)                                             | `0`     | `0`: No <br /> `1`: Yes
d_ai_pursue_rad                 | AI Advanced - enemy active pursuit radius                                                   | `-1`    | `-1`: No <br /> `10`: 10m <br /> `25`: 25m <br /> `50`: 50m <br /> `75`: 75m <br /> `100`: 100m <br /> `125`: 125m <br /> `150`: 150m(recommended) <br /> `175`: 175m <br /> `200`: 200m <br /> `225`: 225m <br /> `250`: 250m <br /> `275`: 275m <br /> `300`: 300m <br /> `400`: 400m <br /> `500`: 500m <br /> `750`: 750m <br /> `1000`: 1000m
d_ai_aggressiveshoot            | AI Advanced - enemy shoots aggressively at players                                          | `0`     | `0`: No <br /> `1`: Yes
d_ai_quickammo                  | AI Advanced - enemy granted frequent ammo refills                                           | `0`     | `0`: No <br /> `1`: Yes
d_occ_cnt                       | Enemy infantry - garrisoned group count - occupy mode                                       | `4`     | `-1`: Low <br /> `-2`: Normal <br /> `-3`: High <br /> `-4`: Very High <br /> `-5`: Extreme <br /> `0`: 0 <br /> `1`: 1 <br /> `2`: 2 <br /> `3`: 3 <br /> `4`: 4 <br /> `5`: 5 <br /> `6`: 6 <br /> `7`: 7 <br /> `8`: 8 <br /> `9`: 9 <br /> `10`: 10 <br /> `11`: 11 <br /> `12`: 12 <br /> `13`: 13 <br /> `14`: 14 <br /> `15`: 15 <br /> `16`: 16 <br /> `17`: 17 <br /> `18`: 18 <br /> `19`: 19 <br /> `20`: 20 <br /> `21`: 21 <br /> `22`: 22 <br /> `23`: 23 <br /> `24`: 24 <br /> `25`: 25 <br /> `30`: 30 <br /> `35`: 35 <br /> `40`: 40 <br /> `45`: 45 <br /> `50`: 50
d_occ_rad                       | Enemy infantry - deployment radius                                                          | `250`   | `125`: 125m <br /> `250`: 250m <br /> `350`: 350m <br /> `450`: 450m <br /> `550`: 550m <br /> `650`: 650m <br /> `750`: 750m <br /> `1000`: 1000m
d_ovrw_cnt                      | Enemy infantry - garrisoned infantry group count - overwatch mode                           | `2`     | `-1`: Low <br /> `-2`: Normal <br /> `-3`: High <br /> `-4`: Very High <br /> `-5`: Extreme <br /> `0`: 0 <br /> `1`: 1 <br /> `2`: 2 <br /> `3`: 3 <br /> `4`: 4 <br /> `5`: 5 <br /> `6`: 6 <br /> `7`: 7 <br /> `8`: 8 <br /> `9`: 9 <br /> `10`: 10 <br /> `11`: 11 <br /> `12`: 12 <br /> `13`: 13 <br /> `14`: 14 <br /> `15`: 15 <br /> `16`: 16 <br /> `17`: 17 <br /> `18`: 18 <br /> `19`: 19 <br /> `20`: 20 <br /> `21`: 21 <br /> `22`: 22 <br /> `23`: 23 <br /> `24`: 24 <br /> `25`: 25 <br /> `30`: 30 <br /> `35`: 35 <br /> `40`: 40 <br /> `45`: 45 <br /> `50`: 50
d_ovrw_rad                      | Enemy infantry - deployment radius                                                          | `250`   | `125`: 125m <br /> `250`: 250m <br /> `350`: 350m <br /> `450`: 450m <br /> `550`: 550m <br /> `650`: 650m <br /> `750`: 750m <br /> `1000`: 1000m
d_amb_cnt                       | Enemy infantry - garrisoned infantry group count - ambush mode                              | `2`     | `-1`: Low <br /> `-2`: Normal <br /> `-3`: High <br /> `-4`: Very High <br /> `-5`: Extreme <br /> `0`: 0 <br /> `1`: 1 <br /> `2`: 2 <br /> `3`: 3 <br /> `4`: 4 <br /> `5`: 5 <br /> `6`: 6 <br /> `7`: 7 <br /> `8`: 8 <br /> `9`: 9 <br /> `10`: 10 <br /> `11`: 11 <br /> `12`: 12 <br /> `13`: 13 <br /> `14`: 14 <br /> `15`: 15 <br /> `16`: 16 <br /> `17`: 17 <br /> `18`: 18 <br /> `19`: 19 <br /> `20`: 20 <br /> `21`: 21 <br /> `22`: 22 <br /> `23`: 23 <br /> `24`: 24 <br /> `25`: 25 <br /> `30`: 30 <br /> `35`: 35 <br /> `40`: 40 <br /> `45`: 45 <br /> `50`: 50
d_amb_rad                       | Enemy infantry - deployment radius                                                          | `250`   | `75`: 75m <br /> `125`: 125m <br /> `250`: 250m <br /> `300`: 300m <br /> `350`: 350m <br /> `450`: 450m <br /> `550`: 550m <br /> `650`: 650m <br /> `750`: 750m <br /> `1000`: 1000m
d_snp_cnt                       | Enemy infantry - garrisoned infantry group count - sniper mode                              | `2`     | `-1`: Low <br /> `-2`: Normal <br /> `-3`: High <br /> `-4`: Very High <br /> `-5`: Extreme <br /> `0`: 0 <br /> `1`: 1 <br /> `2`: 2 <br /> `3`: 3 <br /> `4`: 4 <br /> `5`: 5 <br /> `6`: 6 <br /> `7`: 7 <br /> `8`: 8 <br /> `9`: 9 <br /> `10`: 10 <br /> `15`: 15 <br /> `20`: 20 <br /> `25`: 25 <br /> `30`: 30 <br /> `45`: 45 <br /> `50`: 50
d_snp_rad                       | Enemy infantry - deployment radius                                                          | `425`   | `250`: 250m <br /> `425`: 425m <br /> `650`: 650m <br /> `900`: 900m
d_grp_cnt_footpatrol            | Enemy infantry - patrol infantry group count                                                | `-1`    | `-1`: Default <br /> `0`: 0 <br /> `1`: 1 <br /> `2`: 2 <br /> `3`: 3 <br /> `4`: 4 <br /> `5`: 5 <br /> `6`: 6 <br /> `7`: 7 <br /> `8`: 8 <br /> `9`: 9 <br /> `10`: 10 <br /> `11`: 11 <br /> `12`: 12 <br /> `13`: 13 <br /> `14`: 14 <br /> `15`: 15
d_always_max_groups             | Enemy infantry - always choose maximum number of groups                                     | `0`     | `0`: No <br /> `1`: Yes
d_grp_size_override             | Enemy infantry - group size                                                                 | `0`     | `0`: Default <br /> `1`: High
d_camp_static_weapons           | Defend with static weapons                                                                  | `1`     | `0`: No <br /> `1`: Yes <br /> `-1`: Random
d_camp_enable_guard             | Enable guards and camps                                                                     | `1`     | `0`: No <br /> `1`: Yes <br /> `-1`: Random
d_max_bar_cnt                   | Maximum number of enemy infantry barracks                                                   | `7`     | `1`: 1 <br /> `2`: 2 <br /> `3`: 3 <br /> `4`: 4 <br /> `5`: 5 <br /> `6`: 6 <br /> `7`: 7 <br /> `8`: 8 <br /> `9`: 9 <br /> `10`: 10
d_max_camp_cnt                  | Maximum number of enemy camps to capture                                                    | `-1`    | `1`: 1 <br /> `2`: 2 <br /> `3`: 3 <br /> `4`: 4 <br /> `5`: 5 <br /> `-1`: 3to5
d_camp_center                   | Locate the first enemy camp to capture near the center of the main target                   | `0`     | `0`: No <br /> `1`: Yes
d_WithMHQTeleport               | Teleport or spawn at MHQ:                                                                   | `0`     | `0`: Yes <br /> `1`: No
d_MHQDisableNearMT              | Disable MHQ if less than x m away from MT:                                                  | `500`   | `0`: Off <br /> `500`: 500m <br /> `700`: 700m <br /> `900`: 900m <br /> `1000`: 1000m <br /> `2000`: 2000m
d_NoMHQTeleEnemyNear            | No MHQ tele when enemy near:                                                                | `50`    | `0`: Disabled <br /> `50`: 50m <br /> `100`: 100m <br /> `200`: 200m <br /> `500`: 500m
d_with_mhq_camo                 | MHQ Camo enabled:                                                                           | `0`     | `0`: Yes <br /> `1`: No
d_WithTeleToBase                | Enable teleport to base:                                                                    | `0`     | `0`: Yes <br /> `1`: No
d_MTTowerSatchelsOnly           | MT Tower Satchels only:                                                                     | `0`     | `0`: Yes <br /> `1`: No
d_IllumMainTarget               | Illuminate main target:                                                                     | `0`     | `0`: Yes <br /> `1`: No
d_sub_kill_points               | Subtract score when a player dies:                                                          | `0`     | `0`: No <br /> `1`: -1 Points <br /> `2`: -2 Points <br /> `3`: -3 Points <br /> `4`: -4 Points <br /> `5`: -5 Points <br /> `6`: -6 Points <br /> `7`: -7 Points <br /> `8`: -8 Points <br /> `9`: -9 Points <br /> `10`: -10 Points
d_pilots_only                   | Only pilots can fly:                                                                        | `1`     | `0`: Yes <br /> `1`: No
d_WithLessArmor                 | Armor at main targets:                                                                      | `0`     | `0`: Normal <br /> `1`: Less <br /> `2`: None <br /> `3`: Random
d_WithLessArmor_side            | Armor at side missions:                                                                     | `0`     | `0`: Normal <br /> `1`: Less <br /> `2`: None <br /> `3`: Random
d_EnemySkill                    | Skill Enemy:                                                                                | `2`     | `0`: Very Low <br /> `1`: Low <br /> `2`: Normal <br /> `3`: High <br /> `4`: Very High
d_WithIsleDefense               | With isle defense:                                                                          | `0`     | `0`: Yes <br /> `1`: No
d_without_sm_bonus              | Without sidemission bonus vehicles:                                                         | `1`     | `0`: Yes <br /> `1`: No
d_smallgrps                     | Reduce number of AI units in groups depending on player numbers                             | `0`     | `0`: Yes <br /> `1`: No
d_skillfps                      | Adjust AI subskill if server FPS is low                                                     | `0`     | `0`: Yes <br /> `1`: No
d_enemy_mercenaries             | Enemy mercenaries (2035 only)                                                               | `0`     | `0`: No <br /> `1`: Yes
d_enemy_factions                | MODS REQUIRED - Enemy factions (experimental)                                               | `0`     | `0`: Default <br /> `1`: Taliban (Community Factions Project) <br /> `2`: Asian Insurgents (Asian Factions for CUP) <br /> `3`: Central African Rebels (Community Factions Project) <br /> `4`: Islamic State (Community Factions Project) <br /> `5`: Sudanese Armed Forces (Community Factions Project)
d_ParaAtBase                    | Parachute from base:                                                                        | `0`     | `0`: Yes <br /> `1`: No
d_HALOWaitTime                  | HALO at base wait time:                                                                     | `0`     | `0`: 0 Minutes <br /> `300`: 5 Minutes <br /> `600`: 10 Minutes <br /> `1800`: 30 Minutes <br /> `3600`: 60 Minutes
d_WithJumpFlags                 | No parachute jump flags:                                                                    | `1`     | `0`: Yes <br /> `1`: No
d_HALOJumpHeight                | HALO jump height:                                                                           | `2000`  | `500`: 500m <br /> `700`: 700m <br /> `888`: 888m <br /> `1000`: 1000m <br /> `2000`: 2000m <br /> `5000`: 5000m
d_LockArmored                   | Lock armored enemy vecs:                                                                    | `1`     | `0`: Yes <br /> `1`: No
d_LockCars                      | Lock enemy cars:                                                                            | `1`     | `0`: Yes <br /> `1`: No
d_LockAir                       | Lock enemy air vecs:                                                                        | `1`     | `0`: Yes <br /> `1`: No
d_enemy_vecs_lift               | Enemy AI vehicles can be air lifted:                                                        | `0`     | `0`: Yes <br /> `1`: No
d_maxnum_tks_forkick            | Max number TKs for kick:                                                                    | `10`    | `1`: 1 <br /> `2`: 2 <br /> `3`: 3 <br /> `5`: 5 <br /> `10`: 10 <br /> `20`: 20 <br /> `30`: 30 <br /> `40`: 40 <br /> `1000000`: Disable
d_player_kick_shootingbase      | Kick players shooting at base:                                                              | `10`    | `2`: 2 Shots <br /> `3`: 3 Shots <br /> `5`: 5 Shots <br /> `10`: 10 Shots <br /> `20`: 20 Shots <br /> `30`: 30 Shots <br /> `1000`: No kick
d_no_teamkill                   | No teamkilling possible:                                                                    | `1`     | `0`: Yes <br /> `1`: No
d_sub_tk_points                 | Negative TK points:                                                                         | `10`    | `0`: 0 <br /> `1`: 1 <br /> `5`: 5 <br /> `10`: 10 <br /> `20`: 20 <br /> `30`: 30 <br /> `50`: 50
d_tk_forgive                    | Player can forgive teamkill (mission revive has to be enabled and spectating):              | `0`     | `0`: Yes <br /> `1`: No
d_WreckDeleteTime               | Delete wrecks after:                                                                        | `3600`  | `1800`: 30 minutes <br /> `3600`: 60 minutes <br /> `5400`: 90 minutes <br /> `7200`: 120 minutes <br /> `1010101`: Never
d_WreckMaxRepair                | Wreck max repairs:                                                                          | `3`     | `1`: 1 <br /> `2`: 2 <br /> `3`: 3 <br /> `4`: 4 <br /> `5`: 5 <br /> `10`: 10 <br /> `20`: 20 <br /> `10000000`: Infinite
d_drop_radius                   | Air drop radius:                                                                            | `0`     | `0`: Exact position <br /> `10`: 10m <br /> `30`: 30m <br /> `50`: 50m <br /> `100`: 100m
d_drop_max_dist                 | Airdrop max. dist:                                                                          | `500`   | `100`: 100m <br /> `500`: 500m <br /> `1000`: 1000m <br /> `2000`: 2000m <br /> `3000`: 3000m <br /> `5000`: 5000m <br /> `10000000`: Infinite
